,YEAR,MONTH,DAY,HOURS,MINUTES,LATITUDE,LONGITUDE,MAGNITUDE
0,1901,9,12,6,15,39.0,22.2,5.6
1,1901,10,25,16,18,37.0,22.2,5.4
2,1901,12,24,23,18,37.2,22.2,5.8
3,1902,4,11,18,35,38.5,23.5,5.8
4,1902,7,5,14,56,40.8,23.2,6.6
5,1902,8,2,5,38,38.5,21.8,5.6
6,1902,11,5,23,50,38.2,20.5,5.5
7,1903,3,15,19,3,37.8,21.2,5.7
8,1903,3,25,22,30,36.0,25.0,5.5
10,1903,7,21,13,3,38.2,21.8,5.6
11,1903,8,11,4,32,36.3,23.0,8.0
12,1903,9,19,18,51,37.8,20.8,5.5
18,1904,4,5,9,33,37.8,22.2,5.5
23,1904,8,11,6,8,37.7,26.9,6.2
26,1905,1,20,2,32,39.7,22.9,5.6
30,1905,6,3,4,15,38.2,20.5,5.5
36,1905,10,23,2,38,41.4,24.0,5.6
37,1905,11,8,22,6,40.3,24.4,7.4
38,1905,11,18,0,19,41.0,23.0,5.6
43,1908,5,17,12,30,35.5,24.0,6.4
46,1909,1,19,4,57,38.0,26.5,6.0
48,1909,3,8,15,55,37.7,21.2,5.5
49,1909,5,30,6,14,38.25,22.2,6.0
50,1909,6,13,9,15,38.3,22.0,5.5
51,1909,6,15,23,30,39.2,22.2,5.6
52,1909,7,15,0,34,37.9,21.5,5.7
54,1910,2,18,5,9,35.7,24.0,6.2
60,1911,3,5,19,55,37.7,22.2,5.2
62,1911,3,16,3,12,38.2,22.0,5.4
63,1911,4,4,15,43,36.5,26.5,6.5
65,1911,5,24,23,26,38.8,20.8,5.0
66,1911,9,20,23,24,37.5,22.5,5.2
67,1911,10,22,22,32,39.5,23.0,5.6
68,1912,1,24,16,22,38.1,20.5,6.3
69,1912,1,25,19,52,38.2,20.6,5.5
70,1912,1,26,15,26,38.0,20.5,5.1
72,1912,2,26,20,34,40.5,21.0,5.3
73,1912,4,15,23,27,38.2,20.5,4.9
74,1912,4,19,0,20,38.2,20.5,5.1
82,1912,9,28,12,53,38.0,20.5,4.8
83,1913,7,6,7,5,35.9,23.2,5.3
84,1913,9,30,7,33,35.0,24.0,5.7
85,1914,9,17,13,6,37.8,21.0,5.5
86,1914,10,17,6,22,38.2,23.5,6.0
87,1914,10,17,10,42,38.2,23.5,5.3
88,1914,11,23,9,2,38.8,20.6,5.0
89,1914,11,23,9,6,38.8,20.6,5.0
90,1914,11,27,14,39,38.8,20.6,6.1
91,1915,1,27,1,9,38.5,20.6,6.3
92,1915,2,20,8,13,39.2,20.5,5.2
93,1915,6,4,17,22,39.1,21.4,6.0
94,1915,6,24,5,20,35.0,24.0,5.2
95,1915,6,24,6,17,35.0,24.0,5.0
96,1915,8,7,15,4,38.5,20.5,6.5
97,1915,8,10,0,47,38.5,20.5,5.7
98,1915,8,10,2,2,38.5,20.5,6.2
99,1915,8,11,9,10,38.5,20.5,5.8
100,1915,8,11,9,58,38.5,20.5,5.4
102,1916,2,6,14,39,39.0,23.5,5.5
103,1916,5,20,22,14,38.2,23.2,5.5
104,1916,7,27,3,6,36.5,25.5,5.4
105,1916,9,27,15,2,38.8,23.0,5.8
107,1917,3,14,18,13,39.7,20.3,5.1
109,1917,4,26,13,14,39.56,19.91,5.0
111,1917,6,4,1,14,38.2,21.8,4.7
112,1917,8,20,23,2,40.31,25.29,6.1
114,1917,12,24,9,13,38.65,21.86,5.8
116,1918,1,27,12,56,38.5,22.0,5.1
117,1918,2,9,12,28,39.26,23.65,5.7
120,1918,4,17,14,20,40.5,25.5,4.8
124,1918,7,11,9,48,38.4,21.4,4.9
125,1918,7,16,20,3,36.22,27.26,6.2
127,1918,11,25,12,38,36.4,27.5,5.1
128,1918,11,28,2,43,36.4,27.5,4.9
131,1919,4,5,4,17,37.0,26.0,5.0
132,1919,7,18,7,1,36.0,28.0,5.0
133,1919,7,20,0,3,36.0,28.0,4.6
137,1919,10,13,13,4,38.4,23.9,4.8
138,1919,10,25,17,10,36.56,25.86,5.8
139,1919,10,25,17,54,38.28,23.72,5.0
141,1919,12,22,23,41,39.75,20.62,5.9
144,1920,2,26,23,4,39.3,23.5,4.8
145,1920,4,2,15,34,36.75,26.64,5.5
147,1920,5,19,3,22,38.0,20.5,5.2
150,1920,7,21,14,29,35.32,25.05,5.6
151,1920,8,10,21,53,36.5,23.8,4.8
152,1920,8,16,14,43,39.7,20.8,5.1
156,1920,10,21,18,57,39.43,20.36,5.7
157,1920,11,15,9,20,35.11,25.89,5.1
160,1920,11,27,16,26,39.3,26.5,5.3
161,1920,11,29,15,48,40.56,21.29,5.2
164,1921,1,23,9,7,36.2,25.5,5.2
165,1921,1,27,11,30,36.0,28.0,5.4
171,1921,7,24,19,20,38.8,26.5,5.2
172,1921,8,2,3,17,37.8,21.2,4.8
174,1921,9,13,8,59,38.82,20.93,5.6
178,1922,1,12,10,41,39.28,20.7,5.0
181,1922,4,20,10,22,36.0,25.5,5.2
186,1922,6,19,0,39,37.8,20.5,4.9
188,1922,8,8,3,49,37.58,24.29,5.4
192,1922,8,15,14,53,37.89,23.17,5.1
193,1922,8,17,15,3,36.0,28.0,5.0
195,1922,11,11,22,13,37.84,22.03,5.2
198,1922,12,7,16,37,40.01,21.51,5.5
202,1923,5,29,11,35,40.51,25.8,5.2
203,1923,6,4,20,33,37.15,24.51,5.1
205,1923,8,14,17,51,39.2,23.7,4.8
209,1923,12,5,20,56,39.84,23.6,6.6
210,1923,12,6,0,26,39.8,23.5,4.7
213,1924,2,16,9,1,37.5,23.0,5.5
214,1924,6,18,17,26,39.36,25.88,4.7
215,1924,11,13,9,43,39.2,20.9,5.3
220,1925,3,17,15,32,37.2,26.2,5.0
224,1925,4,12,19,27,38.64,23.52,5.0
228,1925,7,6,12,15,37.79,21.94,5.8
234,1926,2,26,15,46,37.17,21.59,5.8
235,1926,2,26,16,8,37.85,21.47,5.6
245,1926,6,10,19,16,38.84,21.2,5.1
246,1926,6,26,19,46,36.75,26.98,7.3
248,1926,7,5,9,21,36.55,26.56,5.1
249,1926,8,18,17,5,38.08,20.93,5.5
250,1926,8,30,11,38,36.76,23.16,7.0
255,1927,2,19,23,35,36.8,24.5,4.9
256,1927,3,24,14,46,35.45,26.39,5.7
257,1927,3,29,23,8,35.0,26.0,4.9
258,1927,6,30,22,59,39.33,20.81,5.7
259,1927,7,1,8,19,36.72,22.85,6.5
262,1928,1,22,0,18,38.83,22.6,5.1
265,1928,4,10,1,3,37.4,26.1,5.1
279,1928,4,22,19,59,38.4,23.34,5.4
280,1928,4,22,20,13,38.08,23.12,6.5
281,1928,4,25,0,31,38.0,23.0,5.2
284,1928,4,29,9,49,37.71,23.08,5.5
285,1928,5,26,5,55,39.84,19.8,5.0
289,1928,12,10,7,3,36.32,24.59,5.5
291,1929,1,23,11,14,35.2,24.52,5.2
292,1929,3,27,7,41,36.63,26.68,5.1
294,1929,4,17,11,48,36.55,24.43,5.1
296,1929,11,11,7,35,36.68,26.21,5.0
297,1929,12,20,20,19,40.2,23.8,5.1
299,1930,1,23,10,53,35.44,27.31,5.0
300,1930,2,14,18,38,35.96,24.71,6.2
301,1930,2,23,18,19,39.86,22.75,6.1
303,1930,3,6,9,18,35.03,24.73,5.7
304,1930,3,31,12,33,39.7,23.34,6.1
305,1930,4,17,20,6,37.8,23.17,6.1
306,1930,6,25,21,25,35.2,23.8,5.4
308,1930,9,13,20,6,37.85,22.77,5.3
311,1931,1,4,0,0,38.22,23.27,5.7
317,1931,4,26,6,24,38.5,26.2,5.1
318,1931,6,30,10,24,36.29,22.87,5.4
319,1931,7,12,22,24,39.72,24.83,5.2
320,1931,8,18,9,47,40.8,23.5,5.1
321,1931,9,11,16,23,38.87,23.29,5.0
324,1932,3,9,10,16,38.23,20.62,5.4
325,1932,4,23,9,57,40.7,23.5,4.6
327,1932,6,12,23,24,36.43,25.19,5.0
328,1932,6,29,2,30,36.35,26.72,5.3
329,1932,6,29,18,33,35.53,26.7,5.6
330,1932,7,8,11,17,38.9,24.5,4.8
332,1932,8,15,4,34,39.1,22.17,5.7
333,1932,9,26,19,20,40.39,23.81,7.1
334,1932,9,26,21,27,40.75,23.8,5.8
335,1932,9,28,16,52,40.64,23.31,5.8
336,1932,9,29,3,57,40.83,23.46,6.4
338,1932,10,9,6,24,40.0,23.45,5.2
339,1932,10,23,13,36,35.51,27.24,5.5
340,1932,11,1,16,19,40.55,23.37,5.5
343,1933,3,14,1,19,38.84,25.18,5.4
344,1933,3,22,18,14,38.06,20.45,5.1
345,1933,4,23,5,57,36.76,27.17,6.7
347,1933,5,8,1,13,40.65,23.17,5.0
348,1933,5,11,19,9,40.76,23.67,6.5
349,1933,5,15,20,1,36.35,26.8,5.2
350,1933,5,31,19,55,40.48,23.47,5.0
351,1933,6,1,2,40,40.68,23.83,5.1
352,1933,7,2,12,19,40.43,22.87,5.2
360,1934,11,9,13,41,36.47,25.41,6.3
365,1935,2,18,6,40,40.33,23.64,5.2
366,1935,2,25,2,51,36.07,24.83,7.1
367,1935,3,18,8,40,36.08,27.3,6.1
370,1935,9,3,17,35,39.45,20.67,5.4
376,1936,4,8,4,17,40.66,23.09,5.2
378,1936,4,28,23,15,36.15,26.35,5.1
385,1937,12,16,17,35,36.09,23.75,5.5
386,1938,1,2,10,54,35.4,26.0,5.2
389,1938,3,11,14,51,39.23,20.52,5.3
390,1938,3,13,17,45,38.62,20.64,5.8
391,1938,5,12,22,9,35.15,26.24,5.8
394,1938,7,20,0,23,38.3,23.66,6.1
395,1938,7,27,1,29,38.32,23.79,5.0
397,1938,9,18,3,50,38.27,22.47,5.9
401,1939,5,31,0,24,38.0,22.0,5.0
402,1939,6,2,14,11,38.65,22.09,5.2
404,1939,7,28,10,12,35.47,25.21,5.0
405,1939,7,28,16,6,35.06,25.23,5.0
407,1939,9,20,0,19,38.02,20.86,5.6
409,1940,1,6,19,4,35.34,25.53,5.5
410,1940,2,1,6,20,41.31,24.43,5.2
415,1941,3,1,3,52,39.73,22.46,6.3
416,1941,3,1,7,51,39.6,22.5,4.9
417,1941,3,1,15,0,39.6,22.5,4.8
418,1941,5,14,8,36,39.74,22.64,5.3
419,1941,5,16,1,27,39.62,22.41,5.1
425,1941,6,24,15,15,40.5,21.0,5.0
429,1941,11,21,12,12,39.7,23.8,5.0
432,1942,3,11,22,33,37.8,22.1,4.6
433,1942,5,9,4,37,36.11,26.3,5.0
435,1942,6,1,9,1,38.99,22.11,5.3
436,1942,6,1,9,17,38.98,22.56,5.6
439,1942,6,21,4,38,36.05,26.96,5.3
444,1942,9,30,22,30,34.8,25.6,4.8
449,1943,1,7,11,14,37.92,20.55,5.3
452,1943,1,11,11,56,36.55,27.26,5.3
454,1943,3,25,2,51,40.41,21.89,5.5
456,1943,5,22,22,5,38.36,20.43,5.2
458,1943,6,27,10,5,35.14,24.26,5.1
459,1943,7,21,2,6,38.0,21.0,4.7
461,1943,10,16,13,8,36.31,27.89,5.8
464,1944,1,5,5,5,36.4,27.4,5.1
466,1944,5,27,23,52,36.22,27.19,5.7
468,1944,7,20,10,37,36.06,27.02,5.4
469,1944,7,30,4,0,37.14,22.27,5.6
470,1944,8,9,17,36,35.84,27.07,5.6
471,1944,8,17,13,28,35.67,26.8,5.4
473,1944,10,6,7,28,39.37,26.06,5.1
475,1945,1,8,22,42,39.17,20.47,5.4
476,1945,8,27,16,26,36.13,26.61,5.0
480,1946,4,5,20,54,35.29,23.65,5.6
481,1946,4,12,7,37,36.72,26.97,5.5
488,1947,4,12,14,5,39.86,25.01,5.3
489,1947,4,19,20,29,39.33,23.55,5.3
490,1947,6,1,11,18,36.74,21.78,5.6
491,1947,6,4,0,29,40.09,23.96,6.0
493,1947,7,21,9,36,37.55,22.99,5.0
497,1947,10,6,19,55,36.71,21.79,6.7
498,1947,11,29,10,14,39.23,23.67,5.1
500,1948,1,17,2,26,38.25,20.94,5.0
501,1948,2,9,12,58,35.32,27.15,7.2
503,1948,2,11,22,31,35.5,27.1,5.0
504,1948,2,12,22,27,35.91,27.35,5.4
506,1948,3,6,20,12,35.26,25.93,5.2
507,1948,3,26,3,2,40.6,21.47,5.0
508,1948,3,29,2,33,35.69,27.23,5.4
513,1948,5,27,7,32,36.53,23.31,5.1
514,1948,6,17,6,52,37.66,21.81,5.1
521,1948,9,11,8,52,37.38,23.28,6.2
524,1948,10,10,17,43,35.43,23.54,5.6
525,1948,10,18,9,0,35.73,27.21,5.6
528,1949,1,14,15,53,38.76,25.23,5.7
529,1949,2,5,15,24,38.03,21.69,5.0
531,1949,6,26,5,42,39.8,20.47,5.1
532,1949,7,7,12,21,35.95,27.14,5.2
535,1949,9,17,11,30,37.07,22.67,5.0
536,1949,10,4,17,33,38.63,22.08,5.0
537,1949,11,23,16,51,38.58,26.22,5.6
538,1949,12,7,16,13,34.72,24.18,5.2
542,1950,7,31,18,28,37.9,20.8,4.6
543,1950,9,23,6,23,34.9,25.81,5.3
544,1950,10,22,5,52,34.94,26.28,4.9
549,1951,5,26,11,7,38.3,20.8,4.7
559,1952,2,3,20,45,40.47,25.85,5.0
564,1952,3,28,21,20,38.0,21.0,4.5
565,1952,4,3,3,20,38.21,20.49,4.9
566,1952,4,9,8,34,37.8,26.9,4.9
567,1952,4,9,13,11,37.6,21.2,4.5
570,1952,6,13,1,7,37.31,21.98,5.3
571,1952,6,27,13,9,40.68,23.32,4.8
573,1952,8,21,4,18,35.32,25.45,4.6
584,1952,10,13,16,42,39.18,23.4,5.2
585,1952,10,22,4,15,36.86,27.09,5.2
587,1952,12,22,23,51,35.28,25.16,5.2
588,1952,12,31,14,48,35.75,25.95,5.5
589,1952,12,31,17,18,35.66,25.97,5.7
590,1952,12,31,19,58,35.59,25.96,4.6
591,1953,1,1,10,17,35.68,26.13,4.6
594,1953,1,10,23,29,38.28,25.23,5.0
595,1953,1,12,9,31,36.0,28.0,4.8
597,1953,2,7,22,31,34.83,24.11,5.7
598,1953,2,14,8,43,36.07,27.04,5.3
599,1953,2,22,18,26,37.7,21.2,5.3
600,1953,3,4,15,30,38.5,21.8,5.0
608,1953,3,20,19,42,36.5,27.8,4.4
610,1953,3,23,2,15,38.3,21.0,4.5
613,1953,3,30,13,54,37.6,21.3,4.6
615,1953,3,31,11,32,35.0,25.2,5.0
618,1953,4,2,8,21,38.88,25.32,5.0
620,1953,4,8,11,50,39.3,20.6,4.6
621,1953,4,13,12,51,39.0,22.6,5.1
623,1953,4,23,12,53,35.33,26.95,5.3
631,1953,6,7,13,52,35.95,27.11,4.8
633,1953,6,13,6,50,36.0,26.92,4.5
634,1953,6,13,18,38,38.1,22.6,5.1
637,1953,6,23,1,53,36.06,24.69,5.8
639,1953,7,3,2,37,39.2,23.4,4.6
641,1953,8,9,7,41,38.24,20.8,6.1
642,1953,8,11,3,32,38.35,20.74,6.8
643,1953,8,11,3,47,38.1,20.6,4.9
644,1953,8,11,4,0,38.1,20.6,4.7
645,1953,8,11,4,32,38.1,20.8,5.0
646,1953,8,11,5,55,38.1,20.6,4.8
647,1953,8,11,9,27,38.1,20.6,4.6
648,1953,8,11,12,43,38.5,20.53,5.4
649,1953,8,11,13,11,38.25,20.87,5.1
650,1953,8,11,13,45,38.1,20.6,4.8
651,1953,8,11,19,45,38.3,20.8,4.8
652,1953,8,12,6,8,38.39,20.59,4.8
653,1953,8,12,9,23,38.13,20.74,7.3
654,1953,8,12,10,7,38.1,20.8,5.5
655,1953,8,12,11,33,38.06,20.81,5.4
656,1953,8,12,12,5,37.88,20.76,6.3
657,1953,8,12,13,39,38.09,20.81,5.8
658,1953,8,12,14,8,38.12,20.84,6.0
659,1953,8,12,16,8,38.06,20.84,5.5
660,1953,8,12,17,52,38.3,20.8,4.5
661,1953,8,12,19,45,38.3,20.8,4.6
662,1953,8,13,1,48,38.3,20.8,4.5
663,1953,8,13,3,22,38.29,20.88,5.5
664,1953,8,13,4,59,38.3,20.8,4.8
665,1953,8,13,6,0,38.3,20.8,4.5
666,1953,8,13,10,16,38.1,20.8,5.3
667,1953,8,13,14,43,38.3,20.8,4.9
668,1953,8,14,1,23,38.3,20.8,4.9
669,1953,8,14,1,29,38.3,20.8,4.6
670,1953,8,14,21,36,38.3,20.8,4.7
671,1953,8,15,9,39,38.3,20.8,4.6
672,1953,8,17,0,24,38.3,20.8,4.7
673,1953,8,17,2,12,38.12,20.99,5.0
674,1953,8,17,2,44,38.3,20.8,4.6
675,1953,8,17,10,19,38.3,20.8,4.7
676,1953,8,18,4,55,38.3,20.8,4.8
677,1953,8,18,22,43,38.3,20.8,4.8
678,1953,8,19,0,53,38.3,20.8,4.6
679,1953,8,19,3,17,38.3,20.8,4.7
680,1953,8,19,19,35,38.3,20.8,4.6
681,1953,8,20,19,27,38.3,20.8,4.7
682,1953,8,22,14,14,38.3,20.8,4.7
683,1953,8,24,2,21,38.3,20.8,4.6
684,1953,8,28,20,38,38.3,20.8,4.9
685,1953,9,1,20,10,38.3,20.8,4.8
687,1953,9,5,8,41,38.3,20.8,4.7
688,1953,9,5,14,18,37.88,23.17,5.7
689,1953,9,5,21,18,38.3,20.8,4.6
690,1953,9,7,7,32,38.3,20.8,5.0
691,1953,9,8,11,51,38.3,20.8,5.2
692,1953,9,14,14,56,38.38,20.78,5.2
693,1953,9,15,11,37,38.5,20.8,5.0
694,1953,9,25,17,20,38.3,21.0,4.9
695,1953,10,10,21,29,38.08,20.98,5.3
696,1953,10,11,0,14,38.3,21.0,4.8
697,1953,10,16,21,44,38.14,20.7,5.0
699,1953,10,21,11,31,38.38,20.7,5.4
700,1953,10,21,16,29,38.5,20.9,5.0
701,1953,10,21,18,39,38.3,20.59,6.4
702,1953,10,21,22,15,38.3,20.8,4.7
703,1953,10,21,23,44,38.3,20.8,5.0
704,1953,11,3,22,29,37.9,21.2,4.9
705,1953,11,8,1,12,38.3,21.0,5.0
706,1953,11,8,14,45,38.98,23.99,5.0
707,1953,11,18,15,20,37.8,21.0,4.8
708,1953,11,20,19,13,38.4,20.8,5.0
710,1953,11,30,13,21,38.32,21.6,4.8
711,1953,12,5,19,34,37.3,21.0,4.6
712,1953,12,5,20,14,36.08,27.62,4.6
713,1953,12,20,17,56,35.99,27.77,4.9
714,1953,12,21,4,47,38.5,21.0,4.8
715,1953,12,28,2,38,38.3,20.56,5.3
716,1954,1,2,1,13,36.98,27.12,5.2
717,1954,1,18,14,16,37.62,21.6,5.1
718,1954,1,23,20,14,38.7,20.7,4.6
720,1954,1,30,3,55,38.2,20.5,4.8
721,1954,2,16,4,2,38.2,21.0,4.5
722,1954,3,3,19,47,37.7,21.0,4.8
723,1954,3,8,8,17,38.06,20.61,5.2
724,1954,3,9,12,58,38.2,20.7,4.7
729,1954,4,17,20,52,37.99,22.98,5.1
730,1954,4,30,13,2,39.23,22.28,6.7
731,1954,4,30,19,33,39.3,22.2,4.7
732,1954,5,1,14,58,37.8,27.1,4.6
733,1954,5,1,15,24,37.79,27.07,5.0
734,1954,5,1,20,53,37.81,26.95,5.5
739,1954,5,4,16,43,39.26,22.14,5.5
740,1954,5,4,16,45,39.24,22.35,5.4
741,1954,5,4,23,44,39.3,22.2,4.8
742,1954,5,9,16,13,39.3,22.2,4.7
743,1954,5,12,2,16,37.7,21.8,4.9
745,1954,5,17,13,36,39.25,25.75,4.2
746,1954,5,25,22,3,39.26,22.3,5.3
747,1954,5,28,7,43,39.3,22.2,4.8
748,1954,6,5,14,5,39.3,22.2,5.0
749,1954,6,14,20,6,38.2,21.5,4.5
750,1954,6,17,13,47,36.52,27.73,4.5
751,1954,7,17,9,42,38.7,20.5,5.0
752,1954,7,18,13,18,37.6,21.2,4.8
753,1954,7,18,14,42,37.68,21.18,5.1
754,1954,7,25,16,7,36.2,24.5,5.2
755,1954,8,3,18,18,40.28,24.28,5.8
756,1954,8,5,3,48,39.5,22.0,4.7
757,1954,8,5,4,12,40.2,25.0,5.0
758,1954,8,5,4,37,40.1,24.5,4.8
760,1954,8,6,11,33,36.8,23.2,5.0
761,1954,8,6,16,1,39.8,25.0,4.8
762,1954,8,11,8,30,35.0,24.5,5.1
765,1954,9,4,4,19,36.63,27.1,4.7
766,1954,10,6,12,1,37.5,21.8,4.8
769,1954,11,4,19,52,39.7,20.6,4.8
772,1954,12,2,18,29,39.4,22.6,5.0
773,1954,12,15,23,35,38.0,21.0,4.7
774,1954,12,23,16,27,37.87,21.19,5.4
775,1954,12,30,2,7,40.59,22.84,4.9
777,1955,1,3,1,7,39.19,22.27,5.6
778,1955,1,8,7,53,39.27,22.17,5.0
781,1955,2,21,19,46,39.4,23.1,4.7
782,1955,2,22,9,43,39.4,23.1,4.8
783,1955,3,25,12,21,38.5,21.0,4.6
784,1955,3,28,14,45,37.6,21.24,5.1
785,1955,4,13,20,45,37.29,22.5,5.2
786,1955,4,19,16,47,39.31,23.06,6.2
787,1955,4,21,7,18,39.3,23.0,5.8
788,1955,4,21,9,0,39.3,23.1,4.6
790,1955,5,13,19,54,39.3,23.0,4.6
791,1955,5,31,1,4,36.0,26.0,4.4
792,1955,6,2,23,34,40.37,25.59,5.7
793,1955,6,10,3,56,35.01,25.84,4.4
794,1955,7,9,23,53,40.82,22.42,5.0
797,1955,8,14,21,40,38.0,21.2,4.8
798,1955,8,28,13,39,37.36,27.02,5.3
799,1955,10,25,3,8,38.0,21.1,4.5
800,1955,11,1,7,44,38.0,21.0,4.6
802,1955,11,11,18,27,37.54,26.97,4.7
803,1955,11,11,20,4,37.36,26.41,4.5
805,1956,1,27,1,13,36.4,23.75,4.6
806,1956,4,25,8,11,39.2,22.2,4.5
809,1956,5,15,18,34,37.25,20.89,5.0
810,1956,5,15,22,56,37.28,20.95,5.2
811,1956,5,18,22,8,39.03,22.63,5.1
813,1956,6,25,10,50,38.4,20.8,4.4
814,1956,6,26,6,27,39.5,22.2,4.3
815,1956,7,8,13,5,36.9,26.0,4.9
816,1956,7,9,3,11,36.64,25.91,7.4
817,1956,7,9,3,24,36.45,25.51,7.2
818,1956,7,9,4,15,36.58,26.42,4.4
819,1956,7,9,4,33,36.68,26.05,4.5
820,1956,7,9,5,14,36.46,26.0,4.2
821,1956,7,9,6,19,36.66,25.7,5.0
822,1956,7,9,6,22,36.71,25.6,5.3
823,1956,7,9,7,36,36.27,25.89,4.8
824,1956,7,9,9,45,36.6,25.93,4.8
825,1956,7,9,11,30,36.54,26.32,4.9
826,1956,7,9,20,10,36.72,26.12,4.4
827,1956,7,9,20,13,36.62,25.84,5.3
828,1956,7,9,20,48,36.45,26.09,4.8
829,1956,7,9,21,28,36.52,25.81,4.7
830,1956,7,10,0,28,36.69,26.06,4.1
831,1956,7,10,1,59,36.72,26.52,4.6
832,1956,7,10,3,1,36.82,26.15,5.5
833,1956,7,12,6,17,36.7,25.91,4.5
835,1956,7,22,3,29,36.89,26.32,4.8
836,1956,7,28,15,19,35.06,25.87,4.7
837,1956,7,30,5,41,35.83,26.06,5.5
838,1956,7,30,5,47,35.81,25.98,5.1
839,1956,7,30,9,15,35.85,25.86,6.1
840,1956,7,30,9,21,35.81,25.91,5.3
841,1956,7,30,10,40,35.89,25.91,5.3
842,1956,8,9,3,37,35.62,26.3,4.9
844,1956,9,3,18,40,36.4,22.4,4.8
845,1956,9,6,11,46,35.72,25.9,5.7
846,1956,9,6,12,58,36.03,25.88,4.9
847,1956,9,16,18,7,35.97,25.87,5.0
848,1956,10,15,7,34,39.0,25.5,4.6
849,1956,10,29,6,59,35.5,26.0,5.0
850,1956,10,29,7,35,35.8,26.59,5.0
851,1956,11,2,16,4,39.35,23.11,5.2
852,1956,11,20,23,21,39.31,26.15,5.4
853,1956,12,2,19,41,36.58,25.92,4.9
855,1957,1,3,7,36,38.2,21.3,5.2
856,1957,1,23,17,26,36.89,21.58,5.0
859,1957,2,9,1,39,36.75,26.44,5.0
862,1957,3,8,12,14,39.34,22.68,6.5
863,1957,3,8,12,21,39.34,22.66,6.8
864,1957,3,8,12,54,39.34,22.68,4.9
865,1957,3,8,20,30,39.34,22.46,4.6
866,1957,3,8,20,38,39.34,22.85,5.0
867,1957,3,8,23,35,39.41,22.76,6.0
868,1957,3,9,4,1,39.34,22.66,4.6
869,1957,3,11,9,31,39.5,22.8,5.1
870,1957,3,11,13,26,39.3,22.6,4.6
871,1957,3,11,13,39,39.5,22.8,4.7
872,1957,3,23,19,22,38.8,20.6,4.7
873,1957,3,26,23,23,39.3,22.7,4.8
874,1957,3,28,22,26,39.34,22.68,5.1
881,1957,5,12,1,59,39.3,20.5,4.3
882,1957,5,12,7,52,39.3,22.7,4.5
883,1957,5,13,6,34,39.4,22.6,4.3
884,1957,5,21,13,24,39.42,22.81,5.4
885,1957,5,29,18,39,37.62,23.42,5.3
886,1957,6,24,4,31,39.2,24.0,4.4
887,1957,6,27,7,10,39.4,22.7,4.5
888,1957,7,10,23,37,36.33,23.07,4.4
889,1957,7,13,3,31,39.4,22.7,4.4
891,1957,7,15,19,9,36.14,23.02,4.4
895,1957,9,20,2,19,38.5,23.0,4.8
898,1957,10,8,7,0,38.88,20.61,5.1
900,1957,10,18,1,50,38.34,21.98,4.7
901,1957,10,30,1,43,35.3,27.11,5.5
903,1957,11,9,23,55,38.57,22.54,4.8
904,1957,11,26,8,15,39.44,22.71,5.0
905,1957,11,26,11,50,39.37,22.64,5.0
906,1957,11,27,3,8,39.37,22.65,5.3
909,1958,1,16,4,18,39.48,25.5,5.5
911,1958,2,16,16,30,38.3,21.8,4.9
912,1958,3,4,11,32,36.34,27.85,5.1
913,1958,3,6,5,41,36.6,23.0,5.1
914,1958,3,15,6,27,40.86,21.28,5.1
915,1958,3,29,3,0,38.2,22.5,4.2
919,1958,4,24,8,0,36.76,26.55,4.8
923,1958,5,15,14,46,38.2,22.1,4.3
924,1958,5,27,18,27,36.86,26.67,5.1
925,1958,5,30,13,35,40.8,25.8,4.3
929,1958,6,30,8,42,36.44,27.28,5.3
930,1958,7,15,7,59,35.54,23.58,4.8
931,1958,7,17,5,37,40.72,23.39,5.5
938,1958,9,4,0,3,36.54,26.7,5.0
939,1958,9,4,2,51,36.4,27.01,4.9
940,1958,9,4,3,47,37.7,21.0,4.0
941,1958,11,15,5,42,37.45,21.73,5.5
942,1958,12,1,23,6,38.1,21.3,4.9
943,1958,12,3,0,38,38.1,21.3,4.9
961,1959,2,7,20,8,37.56,20.9,4.6
965,1959,3,29,23,7,37.39,23.81,4.6
966,1959,4,8,19,2,36.57,26.8,4.7
970,1959,4,30,22,44,36.22,26.68,4.8
971,1959,5,14,0,55,39.95,22.89,4.6
972,1959,5,14,6,27,35.28,24.54,4.6
973,1959,5,14,6,36,35.11,24.65,6.1
974,1959,5,14,19,22,40.17,23.44,4.9
975,1959,5,20,16,37,36.81,26.53,4.8
977,1959,6,10,4,16,35.67,23.57,5.1
979,1959,6,11,21,9,37.6,21.3,4.9
981,1959,7,12,16,52,36.03,26.28,5.1
984,1959,8,11,23,28,41.31,23.02,4.2
985,1959,8,16,18,42,37.23,22.38,5.1
993,1959,9,16,5,13,35.03,25.76,5.5
994,1959,10,1,4,37,37.3,21.9,4.2
998,1959,11,15,4,7,36.4,26.0,4.8
1000,1959,11,15,17,31,37.8,20.5,5.2
1001,1959,11,19,14,0,38.98,26.55,5.3
1004,1959,11,29,23,49,36.05,23.54,4.5
1007,1959,12,4,9,1,35.7,24.0,4.5
1010,1959,12,27,5,22,35.16,25.95,5.0
1017,1960,2,22,21,4,39.13,20.62,4.6
1018,1960,2,23,0,31,39.13,20.57,4.7
1019,1960,2,23,7,18,39.1,20.7,4.6
1020,1960,2,23,7,34,39.09,20.66,5.4
1021,1960,2,23,7,47,38.94,20.86,5.0
1025,1960,4,13,11,28,35.71,26.78,4.3
1026,1960,4,25,16,28,38.6,25.34,4.9
